Mouse_Tissue_ID,Mouse_ID,Experiment,bc1_well,well_type,Tissue,Genotype,Protocol,Chemistry,Multiplexed_sample1,Multiplexed_sample2,Row,Column,SampleType,Sex,Age,Notes,DOB,Age_days,Body_weight_g,Estrus_cycle,Dissection_date,Dissection_time,ZT,Dissector,Tissue_weight_mg
016_B6J_10F_03,016,igvf_003,A1,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,1,Nuclei,Female,PNM_02,NA,8/16/22,72,21.1,Diestrus,10/27/22,9:01 ,ZT2.5,SK,141
017_B6J_10M_03,017,igvf_003,A2,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,2,Nuclei,Male,PNM_02,NA,8/16/22,72,26.3,NA,10/27/22,11:44 ,ZT5,SK,141
018_B6J_10F_03,018,igvf_003,A3,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,3,Nuclei,Female,PNM_02,NA,8/16/22,72,21,Proestrus,10/27/22,9:38 ,ZT3,SK,143
019_B6J_10M_03,019,igvf_003,A4,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,4,Nuclei,Male,PNM_02,NA,8/16/22,72,29,NA,10/27/22,12:12 ,ZT5.5,SK,141
020_B6J_10F_03,020,igvf_003,A5,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,5,Nuclei,Female,PNM_02,NA,8/16/22,72,18.5,Diestrus,10/27/22,10:14 ,ZT3.5,SK,149
021_B6J_10M_03,021,igvf_003,A6,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,6,Nuclei,Male,PNM_02,NA,8/16/22,72,27.8,NA,10/27/22,12:38 ,ZT6,SK,135
024_B6J_10F_03,024,igvf_003,A7,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,7,Nuclei,Female,PNM_02,NA,8/16/22,72,20.7,Estrus,10/27/22,11:13 ,ZT4.5,SK,131
025_B6J_10M_03,025,igvf_003,A8,Single,CortexHippocampus,B6J,Parse_WT_Mega,v2,NA,NA,A,8,Nuclei,Male,PNM_02,NA,8/16/22,72,27.7,NA,10/27/22,13:39 ,ZT7,SK,150
066_NODJ_10F_03,066,igvf_003,B1,Single,CortexHippocampus,NODJ,Parse_WT_Mega,v2,NA,NA,B,1,Nuclei,Female,PNM_02,NA,8/9/22,72,15.8,Proestrus,10/20/22,9:07 ,ZT2.5,SK,130
067_NODJ_10M_03,067,igvf_003,B2,Single,CortexHippocampus,NODJ,Parse_WT_Mega,v2,NA,NA,B,2,Nuclei,Male,PNM_02,NA,8/9/22,72,26,NA,10/20/22,10:42 ,ZT4,SK,140
068_NODJ_10F_03,068,igvf_003,B3,Single,CortexHippocampus,NODJ,Parse_WT_Mega,v2,NA,NA,B,3,Nuclei,Female,PNM_02,NA,8/9/22,72,20,Metestrus,10/20/22,9:29 ,ZT3,SK,140
069_NODJ_10M_03,069,igvf_003,B4,Single,CortexHippocampus,NODJ,Parse_WT_Mega,v2,NA,NA,B,4,Nuclei,Male,PNM_02,NA,8/9/22,72,25.5,NA,10/20/22,11:10 ,ZT4.5,SK,141
